username,komentar,clean_comment,stem_comment,tokens,label
yanpurwandi,400 responden doang. Coba yg respondennya wrga jkt,responden doang coba yg respondennya wrga jkt,responden doang coba yg responden wrga jkt,"['responden', 'doang', 'coba', 'yg', 'responden', 'wrga', 'jkt']",netral
resall_18,"Bujug tumben itu gacoan gue paling atas,biasanye dibikin paling bawah.",bujug tumben gacoan gue atasbiasanye dibikin,bujug tumben gaco gue atasbiasanye bikin,"['bujug', 'tumben', 'gaco', 'gue', 'atasbiasanye', 'bikin']",netral
jefry_arsyavin,Juaranya tetep Mas Kaesang👏,juaranya tetep mas kaesang,juara tetep mas kaesang,"['juara', 'tetep', 'mas', 'kaesang']",netral
red_xxlin,"Masing2 sudah pernah menjabat, rakyat Jakarta sudah tahu mana yg punya kapabilitas, kredibilitas dan kompetensi. Mana yg bikin perubahan ke arah yg benar dan tepat",menjabat rakyat jakarta yg kapabilitas kredibilitas kompetensi yg bikin perubahan arah yg,jabat rakyat jakarta yg kapabilitas kredibilitas kompetensi yg bikin ubah arah yg,"['jabat', 'rakyat', 'jakarta', 'yg', 'kapabilitas', 'kredibilitas', 'kompetensi', 'yg', 'bikin', 'ubah', 'arah', 'yg']",netral
aidafaig,Ridwan Kamil atau gak Ahok aja lah ya Allah gubernur Jkt. At least lebih nyata kerjanya,ridwan kamil gak ahok aja ya allah gubernur jkt at least nyata kerjanya,ridwan kamil gak ahok aja ya allah gubernur jkt at least nyata kerja,"['ridwan', 'kamil', 'gak', 'ahok', 'aja', 'ya', 'allah', 'gubernur', 'jkt', 'at', 'least', 'nyata', 'kerja']",negatif
_nubaqi_,Kaesang ngapain coek🗿,kaesang ngapain coek,kaesang ngapain coek,"['kaesang', 'ngapain', 'coek']",netral
artdiputro,Kalau versi LSI?,versi lsi,versi lsi,"['versi', 'lsi']",netral
affan_a.d,Paling bener memang pak anis trus wakil nya ahok👏👏😂,bener anis trus wakil nya ahok,bener anis trus wakil nya ahok,"['bener', 'anis', 'trus', 'wakil', 'nya', 'ahok']",netral
abayjuro,"Ada ada aja kelakuan orang yang kalo markir motornya  ngga diruang tamu, trus standar nya harus di alasin kain atau kardus",aja kelakuan orang kalo markir motornya ngga diruang tamu trus standar nya alasin kain kardus,aja laku orang kalo markir motor ngga ruang tamu trus standar nya alasin kain kardus,"['aja', 'laku', 'orang', 'kalo', 'markir', 'motor', 'ngga', 'ruang', 'tamu', 'trus', 'standar', 'nya', 'alasin', 'kain', 'kardus']",netral
donal79,gak minat...,gak minat,gak minat,"['gak', 'minat']",netral
ariefprasetia,😂😂😂,,,[],netral
hasan_asyari1,Pak Heru Budi masih ada? 😂,heru budi,heru budi,"['heru', 'budi']",netral
ilyaswkoerniawan,"kaget, si bungsu masih dibawah, padahal...harusnya teratas,..mana survey qodori..",kaget si bungsu dibawah padahalharusnya teratasmana survey qodori,kaget si bungsu bawah padahalharusnya teratasmana survey qodori,"['kaget', 'si', 'bungsu', 'bawah', 'padahalharusnya', 'teratasmana', 'survey', 'qodori']",netral
opa_jimm,"😂😂😂😂😂 ketawain aja,",ketawain aja,ketawain aja,"['ketawain', 'aja']",netral
adirvan_ongorsbunny,Pak Anis dan Pak Ahok dipasangin aja biar akur👏👏,anis ahok dipasangin aja biar akur,anis ahok dipasangin aja biar akur,"['anis', 'ahok', 'dipasangin', 'aja', 'biar', 'akur']",netral
jparwant7,"ABS, asal bukan sologiensis",abs sologiensis,abs sologiensis,"['abs', 'sologiensis']",netral
hairul_farr,Mana nih kaesang kok gk ada,nih kaesang gk,nih kaesang gk,"['nih', 'kaesang', 'gk']",netral
kamilakebelet,Msh ada 1 persen ya yg milih bapak ituh?,msh persen ya yg milih ituh,msh persen ya yg milih ituh,"['msh', 'persen', 'ya', 'yg', 'milih', 'ituh']",netral
ayip1728,Ahok - Sri Mulyani,ahok sri mulyani,ahok sri mulyani,"['ahok', 'sri', 'mulyani']",netral
azwadiahmad4,Goodbener Pak Anies❤️,goodbener anies,goodbener anies,"['goodbener', 'anies']",netral
steve_hp_wj,Ahok 🔥🔥🔥,ahok,ahok,['ahok'],netral
cikalaulia0405,Gk ada nama kreji ric,gk nama kreji ric,gk nama kreji ric,"['gk', 'nama', 'kreji', 'ric']",netral
l40d3nti,1%,,,[],netral
rfs_sinaga,"Kalah capres .eehhh nyalon lagi..apa namanya ini.. prop kembang,gak ada yg Laen bermutu😂😂",kalah capres eehhh nyalon lagiapa namanya prop kembanggak yg laen bermutu,kalah capres eehhh nyalon lagiapa nama prop kembanggak yg laen mutu,"['kalah', 'capres', 'eehhh', 'nyalon', 'lagiapa', 'nama', 'prop', 'kembanggak', 'yg', 'laen', 'mutu']",netral
jaransun_,Colek kang,colek kang,colek kang,"['colek', 'kang']",netral
pari_ban_cibubur,"Masalah nya nanti banyak pemilih gelap atau kampanye jorjoran yg bikin nomor tengah atau buntut juara, contohnya makan siang gratis gitu",nya pemilih gelap kampanye jorjoran yg bikin nomor buntut juara contohnya makan siang gratis gitu,nya pilih gelap kampanye jorjoran yg bikin nomor buntut juara contoh makan siang gratis gitu,"['nya', 'pilih', 'gelap', 'kampanye', 'jorjoran', 'yg', 'bikin', 'nomor', 'buntut', 'juara', 'contoh', 'makan', 'siang', 'gratis', 'gitu']",netral
pakdeto7171,Tolong diduetkan Ahok Sri Mulyani... Wan sbut ga akan dapet panggung di Nusantara ini,tolong diduetkan ahok sri mulyani wan sbut ga dapet panggung nusantara,tolong duet ahok sri mulyani wan sbut ga dapet panggung nusantara,"['tolong', 'duet', 'ahok', 'sri', 'mulyani', 'wan', 'sbut', 'ga', 'dapet', 'panggung', 'nusantara']",negatif
pari_ban_cibubur,Udah pasangkan aja anis ahok maju lewat pdip toh dulu yg bawa anis aja udah bersebrangan kan. Brarti bukan anis kemarin yg bawa isu sara tapi pendukungnya dan partai pendukungnya yaitu gerindra,udah pasangkan aja anis ahok maju pdip yg bawa anis aja udah bersebrangan brarti anis kemarin yg bawa isu sara pendukungnya partai pendukungnya gerindra,udah pasang aja anis ahok maju pdip yg bawa anis aja udah bersebrangan brarti anis kemarin yg bawa isu sara dukung partai dukung gerindra,"['udah', 'pasang', 'aja', 'anis', 'ahok', 'maju', 'pdip', 'yg', 'bawa', 'anis', 'aja', 'udah', 'bersebrangan', 'brarti', 'anis', 'kemarin', 'yg', 'bawa', 'isu', 'sara', 'dukung', 'partai', 'dukung', 'gerindra']",netral
maryanto232,Kalau gubernur yg lalu berhasil meniadakan banjir maka tentunya sampai sekarang tdk ada banjir. Sehingga gubernur selanjutnya akan menangani yg lain,gubernur yg berhasil meniadakan banjir tdk banjir gubernur menangani yg,gubernur yg hasil tiada banjir tdk banjir gubernur tangan yg,"['gubernur', 'yg', 'hasil', 'tiada', 'banjir', 'tdk', 'banjir', 'gubernur', 'tangan', 'yg']",netral
andy_jojo48,"seandainya ""Komeng"" ada pasti w LBH milih beliau....yg kepilih bener2 dr rakyat...yg tidak pernah ""menjatuhkan...omongnny konsisten..TDK memecah belah ....bukan budak partai....yah gitu lah😂",seandainya komeng w lbh milih beliauyg kepilih bener dr rakyatyg menjatuhkanomongnny konsistentdk memecah belah budak partaiyah gitu,anda komeng w lbh milih beliauyg pilih bener dr rakyatyg menjatuhkanomongnny konsistentdk pecah belah budak partaiyah gitu,"['anda', 'komeng', 'w', 'lbh', 'milih', 'beliauyg', 'pilih', 'bener', 'dr', 'rakyatyg', 'menjatuhkanomongnny', 'konsistentdk', 'pecah', 'belah', 'budak', 'partaiyah', 'gitu']",netral
aomine_evo,Semangat Warga Jakarta. 👏,semangat warga jakarta,semangat warga jakarta,"['semangat', 'warga', 'jakarta']",netral
rwikuwibowo,Asikkk pak Anies terpilih lagi jadi gubernur versi survey kompas👏👏👏,asikkk anies terpilih gubernur versi survey kompas,asikkk anies pilih gubernur versi survey kompas,"['asikkk', 'anies', 'pilih', 'gubernur', 'versi', 'survey', 'kompas']",netral
asep_atib_al123,"Yaudahh biar adilll Pak Anies jadi Gubernur nya,pak Ahok jadi wakil nya👏",yaudahh biar adilll anies gubernur nyapak ahok wakil nya,yaudahh biar adilll anies gubernur nyapak ahok wakil nya,"['yaudahh', 'biar', 'adilll', 'anies', 'gubernur', 'nyapak', 'ahok', 'wakil', 'nya']",netral
pajak_inpres_kosmetik_kutacane,Jakarta anda parah! 😂😂😂,jakarta parah,jakarta parah,"['jakarta', 'parah']",netral
juriantovanpersie10,Ahokkk aja,ahokkk aja,ahokkk aja,"['ahokkk', 'aja']",netral
andy_wijay4,Asekk ada lahan buat mkn nasi bungkus ini buzzer gorong gorong 😂,asekk lahan mkn nasi bungkus buzzer gorong gorong,asekk lahan mkn nasi bungkus buzzer gorong gorong,"['asekk', 'lahan', 'mkn', 'nasi', 'bungkus', 'buzzer', 'gorong', 'gorong']",netral
angginurul_,Pak anies ma pak ahok cocok bgt,anies ma ahok cocok bgt,anies ma ahok cocok bgt,"['anies', 'ma', 'ahok', 'cocok', 'bgt']",netral
ani_d.rusmiyani,Pak Ahok aja,ahok aja,ahok aja,"['ahok', 'aja']",netral
issyudhie,Ga menjamin....,ga menjamin,ga jamin,"['ga', 'jamin']",netral
kumiko972,AHOK 🔥🔥🔥,ahok,ahok,['ahok'],netral
ichio_,Tukang palak pajak ngapain disitu?,tukang palak pajak ngapain disitu,tukang palak pajak ngapain situ,"['tukang', 'palak', 'pajak', 'ngapain', 'situ']",netral
nuky_ars,ABAH : Anies - Basuki Tjahya Purnama.  duet Bomber nihh,abah anies basuki tjahya purnama duet bomber nihh,abah anies basuki tjahya purnama duet bomber nihh,"['abah', 'anies', 'basuki', 'tjahya', 'purnama', 'duet', 'bomber', 'nihh']",netral
nuky_ars,ABAH : Anies Baswedan - AHok 🔥,abah anies baswedan ahok,abah anies baswedan ahok,"['abah', 'anies', 'baswedan', 'ahok']",netral
henricusjsw,Tunggu aja besok jg lembaga survey lgsg berubah. Yg 1% pasti berubah 😂😂😂,tunggu aja besok jg lembaga survey lgsg berubah yg berubah,tunggu aja besok jg lembaga survey lgsg ubah yg ubah,"['tunggu', 'aja', 'besok', 'jg', 'lembaga', 'survey', 'lgsg', 'ubah', 'yg', 'ubah']",netral
purbasari.ayu,Ntar niy versiny si qodari beda....😂😂😂😂,ntar niy versiny si qodari beda,ntar niy versiny si qodari beda,"['ntar', 'niy', 'versiny', 'si', 'qodari', 'beda']",netral
tooon93,Anis😍 tetap anis😍,anis anis,anis anis,"['anis', 'anis']",netral
gnkplt28,erick2 😂,erick,erick,['erick'],netral
sitorus_ucok90,pak ahok ke sumut please..,ahok sumut please,ahok sumut please,"['ahok', 'sumut', 'please']",netral
amrighiffari12,Tumben anak presiden survey nya kecil,tumben anak presiden survey nya,tumben anak presiden survey nya,"['tumben', 'anak', 'presiden', 'survey', 'nya']",netral
christian_sidarta,Serius nanya emang bener kalau mantan gubernur tidak bisa mencalonkan sebagai wakil?,serius nanya emang bener mantan gubernur mencalonkan wakil,serius nanya emang bener mantan gubernur calon wakil,"['serius', 'nanya', 'emang', 'bener', 'mantan', 'gubernur', 'calon', 'wakil']",netral
warshaka,Sekarang pendukung Anies percaya hasil survei?,pendukung anies percaya hasil survei,dukung anies percaya hasil survei,"['dukung', 'anies', 'percaya', 'hasil', 'survei']",netral
great_aset_property_rian,"Hati2 di tikungan ada Kabah,langsung naik😁🤣",hati tikungan kabahlangsung,hati tikung kabahlangsung,"['hati', 'tikung', 'kabahlangsung']",netral
olgakoswanurfandianka,Pak Ahok ayo gas lagi bapak. 🙌🔥👏😍,ahok ayo gas,ahok ayo gas,"['ahok', 'ayo', 'gas']",netral
rayhan.rauf,PDI punya kader terbaik ahok aja jkrta 1 ngapain incer jkrta 2,pdi kader terbaik ahok aja jkrta ngapain incer jkrta,pdi kader baik ahok aja jkrta ngapain incer jkrta,"['pdi', 'kader', 'baik', 'ahok', 'aja', 'jkrta', 'ngapain', 'incer', 'jkrta']",netral
kiki_jpg,Hara tenang harap tenang 😂,hara tenang harap tenang,hara tenang harap tenang,"['hara', 'tenang', 'harap', 'tenang']",netral
aldo.s.jr97,Idih amit2 klo si omon2,idih amit klo si omon,idih amit klo si omon,"['idih', 'amit', 'klo', 'si', 'omon']",netral
syarifromdhoni,"udah give up aja, daripada ngabisin duit buat lawan orang yg pasti menang",udah give up aja ngabisin duit lawan orang yg menang,udah give up aja ngabisin duit lawan orang yg menang,"['udah', 'give', 'up', 'aja', 'ngabisin', 'duit', 'lawan', 'orang', 'yg', 'menang']",netral
shinta.rs_,Heru udah ga tertolong,heru udah ga tertolong,heru udah ga tolong,"['heru', 'udah', 'ga', 'tolong']",netral
arief.ramadhan721,Coba dong anies di jawa barat apa elektabilitasnya bisa ngalahin RK😂,coba anies jawa barat elektabilitasnya ngalahin rk,coba anies jawa barat elektabilitasnya ngalahin rk,"['coba', 'anies', 'jawa', 'barat', 'elektabilitasnya', 'ngalahin', 'rk']",netral
danielvergasmoon01,Abah we love u🔥,abah we love u,abah we love u,"['abah', 'we', 'love', 'u']",positif
andrechristopher27,Waktu itu katanya ada survei yg bilang tingkat kepuasan terhadap Pj Heru tinggi….lha kok paling bontot ? 😂😂😂,survei yg bilang tingkat kepuasan pj heru tinggilha bontot,survei yg bilang tingkat puas pj heru tinggilha bontot,"['survei', 'yg', 'bilang', 'tingkat', 'puas', 'pj', 'heru', 'tinggilha', 'bontot']",netral
adelia_kputri,"Putra Bungsu Raja Konoha gak laku kalo di Kota. Secara umum pemilih cerdas, dan juga ga ada Kades² yg bs dikonsolidasikan.",putra bungsu raja konoha gak laku kalo kota pemilih cerdas ga kades yg bs dikonsolidasikan,putra bungsu raja konoha gak laku kalo kota pilih cerdas ga kades yg bs konsolidasi,"['putra', 'bungsu', 'raja', 'konoha', 'gak', 'laku', 'kalo', 'kota', 'pilih', 'cerdas', 'ga', 'kades', 'yg', 'bs', 'konsolidasi']",netral
zainalarief53,Tetap 1% dong 😂🔥,,,[],netral
iyee_ol,Kok anak muda paling berprestasi   ga masuk ? Jgn sampe bapaknya nyuruh KPK obrak abrik kompas.,anak muda berprestasi ga masuk jgn sampe bapaknya nyuruh kpk obrak abrik kompas,anak muda prestasi ga masuk jgn sampe bapak nyuruh kpk obrak abrik kompas,"['anak', 'muda', 'prestasi', 'ga', 'masuk', 'jgn', 'sampe', 'bapak', 'nyuruh', 'kpk', 'obrak', 'abrik', 'kompas']",netral
aagadgetcomp,Pak dharma dong nomer 1,dharma nomer,dharma nomer,"['dharma', 'nomer']",netral
syahputra15._,Kadrun tumben percaya survey 😂,kadrun tumben percaya survey,kadrun tumben percaya survey,"['kadrun', 'tumben', 'percaya', 'survey']",netral
christopher_dwiandana,"Ridwan kamil ahok oye, no simbah yaman",ridwan kamil ahok oye no simbah yaman,ridwan kamil ahok oye no simbah yaman,"['ridwan', 'kamil', 'ahok', 'oye', 'no', 'simbah', 'yaman']",netral
ibnufajri11,Akun ini dr jman capress lbh ke aniss... 🔥,akun dr jman capress lbh aniss,akun dr jman capress lbh aniss,"['akun', 'dr', 'jman', 'capress', 'lbh', 'aniss']",netral
jefrie_dj,Klo gitu relakan saja jakarta...toh bkn ibukota lagi..kita tinggal pantau bencana ke depan😂,klo gitu relakan jakartatoh bkn ibukota lagikita tinggal pantau bencana,klo gitu rela jakartatoh bkn ibukota lagikita tinggal pantau bencana,"['klo', 'gitu', 'rela', 'jakartatoh', 'bkn', 'ibukota', 'lagikita', 'tinggal', 'pantau', 'bencana']",netral
bangbazoeri,Tumben Kaesang 1% biasanya klo lembaga survey keluarga solo selalu bagus🤣,tumben kaesang klo lembaga survey keluarga solo bagus,tumben kaesang klo lembaga survey keluarga solo bagus,"['tumben', 'kaesang', 'klo', 'lembaga', 'survey', 'keluarga', 'solo', 'bagus']",netral
agam.sofyanto99,"Bosan , siapapun yg jadi pemimpin, rakyat Indonesia tetap miskin",bosan yg pemimpin rakyat indonesia miskin,bosan yg pimpin rakyat indonesia miskin,"['bosan', 'yg', 'pimpin', 'rakyat', 'indonesia', 'miskin']",netral
muliagumi,"Bagi bansos lagi, pasti anak bapak naik lagi namanya 🤣",bansos anak namanya,bansos anak nama,"['bansos', 'anak', 'nama']",netral
loksavarrambonk,"Jahat bgt, masa ciman 4 orang yg milih, padahal sdh rajin ibadah loh!😂😂😂",jahat bgt ciman orang yg milih sdh rajin ibadah loh,jahat bgt ciman orang yg milih sdh rajin ibadah loh,"['jahat', 'bgt', 'ciman', 'orang', 'yg', 'milih', 'sdh', 'rajin', 'ibadah', 'loh']",netral
natha_permana,👏👏👏,,,[],netral
zulkarnain_m.amin,Mantap Pak Anies 🔥,mantap anies,mantap anies,"['mantap', 'anies']",netral
beny_y33,Kok gak ada anak Fir'aun???,gak anak firaun,gak anak firaun,"['gak', 'anak', 'firaun']",netral
regust_indra,Ahok 🔥🔥,ahok,ahok,['ahok'],netral
aribawaper,"Koh Ahok, aku padamu ✊✊✊.. Anies vs Ahok Jilid 2",koh ahok padamu anies vs ahok jilid,koh ahok pada anies vs ahok jilid,"['koh', 'ahok', 'pada', 'anies', 'vs', 'ahok', 'jilid']",netral
septiandwi92,"Pak Anies, Pak Ahok dan Pak Ridwan kamil aja. Udah ga usah bnyk2 calon nya",anies ahok ridwan kamil aja udah ga bnyk calon nya,anies ahok ridwan kamil aja udah ga bnyk calon nya,"['anies', 'ahok', 'ridwan', 'kamil', 'aja', 'udah', 'ga', 'bnyk', 'calon', 'nya']",netral
lani.tolani.77,Tenang2...yg baru dapat 1 persen...pertarungan belom di mulai..yg penting bansos siaga dulu..insya allah menang...semangat🔥🔥,tenangyg persenpertarungan belom mulaiyg bansos siaga duluinsya allah menangsemangat,tenangyg persenpertarungan bom mulaiyg bansos siaga duluinsya allah menangsemangat,"['tenangyg', 'persenpertarungan', 'bom', 'mulaiyg', 'bansos', 'siaga', 'duluinsya', 'allah', 'menangsemangat']",netral
bayuprasetya31,Ahok 🔥,ahok,ahok,['ahok'],netral
medina_anastasya,Pak Ahol cocok sihhh,ahol cocok sihhh,ahol cocok sihhh,"['ahol', 'cocok', 'sihhh']",netral
balibikerun,Die lagi die lagi... ada yg lain gak ? 😂🤣,die die yg gak,die die yg gak,"['die', 'die', 'yg', 'gak']",netral
tsanjaya_9,Anis Ahok =Is ok,anis ahok is ok,anis ahok is ok,"['anis', 'ahok', 'is', 'ok']",positif
hanshandoko93,Anies aja lah,anies aja,anies aja,"['anies', 'aja']",netral
revasabr,maaf ya bro sang  warga Jakarta masih lebih rasional dlm memilih calon pemimpin nya,maaf ya bro sang warga jakarta rasional dlm memilih calon pemimpin nya,maaf ya bro sang warga jakarta rasional dlm pilih calon pimpin nya,"['maaf', 'ya', 'bro', 'sang', 'warga', 'jakarta', 'rasional', 'dlm', 'pilih', 'calon', 'pimpin', 'nya']",netral
gie_wahid,Yang 1 % bisa menang didukung abuse of powrr,menang didukung abuse of powrr,menang dukung abuse of powrr,"['menang', 'dukung', 'abuse', 'of', 'powrr']",netral
rakarachelembull,Hoax kgk dah kalo wnbut lagi😂,hoax kgk dah kalo wnbut,hoax kgk dah kalo wnbut,"['hoax', 'kgk', 'dah', 'kalo', 'wnbut']",netral
nya_i2024,"nenek gw idup d jakarta uda dr taun 1969..gw d kalbar,klo gw tnya gub mana yg bagus dia cm jawab: SAMA AJA TAPI AHOK JAUH LEBIH BAGUS DRI AMIS 🤣🤣",nenek gw idup d jakarta uda dr taun gw d kalbarklo gw tnya gub yg bagus cm aja ahok bagus dri amis,nenek gw idup d jakarta uda dr taun gw d kalbarklo gw tnya gub yg bagus cm aja ahok bagus dri amis,"['nenek', 'gw', 'idup', 'd', 'jakarta', 'uda', 'dr', 'taun', 'gw', 'd', 'kalbarklo', 'gw', 'tnya', 'gub', 'yg', 'bagus', 'cm', 'aja', 'ahok', 'bagus', 'dri', 'amis']",netral
krisnapdwa,masih ada yang milih heru 😹,milih heru,milih heru,"['milih', 'heru']",netral
mohamadarifin36,Siapapun gubernurnya yg penting bukan produk Mahkamah adik,gubernurnya yg produk mahkamah adik,gubernur yg produk mahkamah adik,"['gubernur', 'yg', 'produk', 'mahkamah', 'adik']",netral
rawrrn._,Ahok nomor 1🔥🔥🔥,ahok nomor,ahok nomor,"['ahok', 'nomor']",netral
indranovoselicblues59,mulai😂,,,[],netral
fellanug,Anies mgkn maunyacjadi gubernur IKN krn anies kan levelnya ibukota negara. Y udah jkt Ahok aja yg mimpin,anies mgkn maunyacjadi gubernur ikn krn anies levelnya ibukota negara y udah jkt ahok aja yg mimpin,anies mgkn maunyacjadi gubernur ikn krn anies level ibukota negara y udah jkt ahok aja yg mimpin,"['anies', 'mgkn', 'maunyacjadi', 'gubernur', 'ikn', 'krn', 'anies', 'level', 'ibukota', 'negara', 'y', 'udah', 'jkt', 'ahok', 'aja', 'yg', 'mimpin']",netral
affan.amiruddin,"Kaesang bisa menang kan ada bapak sama kakak sama MA, MK dll 😂. Bansos jalan, polisi bergerak, TNI bergerak. Nothing semua 🤣",kaesang menang kakak ma mk dll bansos jalan polisi bergerak tni bergerak nothing,kaesang menang kakak ma mk dll bansos jalan polisi gerak tni gerak nothing,"['kaesang', 'menang', 'kakak', 'ma', 'mk', 'dll', 'bansos', 'jalan', 'polisi', 'gerak', 'tni', 'gerak', 'nothing']",netral
erisrofiani,Ahokk,ahokk,ahokk,['ahokk'],netral
udinmandorr01,"Anis bikin patung bambu buang2 duit,",anis bikin patung bambu buang duit,anis bikin patung bambu buang duit,"['anis', 'bikin', 'patung', 'bambu', 'buang', 'duit']",netral
tonung26,kalau sampe anies ahok bersatu bakalan jadi duo maut sampe ke presiden wakil presiden gak bakal ada lawan 🔥,sampe anies ahok bersatu duo maut sampe presiden wakil presiden gak lawan,sampe anies ahok satu duo maut sampe presiden wakil presiden gak lawan,"['sampe', 'anies', 'ahok', 'satu', 'duo', 'maut', 'sampe', 'presiden', 'wakil', 'presiden', 'gak', 'lawan']",netral
azwarwirman,Lah itu tukang pisang kok cuma 1%....,tukang pisang,tukang pisang,"['tukang', 'pisang']",netral
marcianasetijawati,Coba respondennya partai kembang semua. Dijamin ketumnya elek-nya 100% 😂,coba respondennya partai kembang dijamin ketumnya eleknya,coba responden partai kembang jamin tum eleknya,"['coba', 'responden', 'partai', 'kembang', 'jamin', 'tum', 'eleknya']",netral
agusprast1212,Si bocil surveynya cuma 1% tapi kalau nyalon pasti menang deh,si bocil surveynya nyalon menang deh,si bocil surveynya nyalon menang deh,"['si', 'bocil', 'surveynya', 'nyalon', 'menang', 'deh']",netral
istiana_7,Ridwan Kamil aja,ridwan kamil aja,ridwan kamil aja,"['ridwan', 'kamil', 'aja']",netral
arifsetiadi_14,Anies terbaik,anies terbaik,anies baik,"['anies', 'baik']",netral
ketctard,Anies - Ahok udah paling bener,anies ahok udah bener,anies ahok udah bener,"['anies', 'ahok', 'udah', 'bener']",netral
hilda.halda,Pak Anis & bu Sri Mulyani aja gimana???,anis bu sri mulyani aja gimana,anis bu sri mulyani aja gimana,"['anis', 'bu', 'sri', 'mulyani', 'aja', 'gimana']",netral
arifin_estrada,Pasti ahoz lah,ahoz,ahoz,['ahoz'],netral
arifin_estrada,Ahok❤️,ahok,ahok,['ahok'],netral
sugik_0807,mantep abah,mantep abah,mantep abah,"['mantep', 'abah']",netral
ikhamdan_,Orang yg dukung anis pasti dari keluarga atau orang asn karna takut sama kepemimpinan ahok🔥,orang yg dukung anis keluarga orang asn karna takut kepemimpinan ahok,orang yg dukung anis keluarga orang asn karna takut pimpin ahok,"['orang', 'yg', 'dukung', 'anis', 'keluarga', 'orang', 'asn', 'karna', 'takut', 'pimpin', 'ahok']",netral
tirosandi,yg penting kn seiman,yg kn seiman,yg kn iman,"['yg', 'kn', 'iman']",netral
murjimanto_assakha,Ud kasih ahok lah...warga bawah pasti merasakan dampak.baiknya,ud kasih ahok lahwarga merasakan dampakbaiknya,ud kasih ahok lahwarga rasa dampakbaiknya,"['ud', 'kasih', 'ahok', 'lahwarga', 'rasa', 'dampakbaiknya']",netral
rianaditiia,Ahokk lgi,ahokk lgi,ahokk lgi,"['ahokk', 'lgi']",netral
bagas_naufalw,"3 hebat pak anies, pak ahok dan pak ridwan kamil",hebat anies ahok ridwan kamil,hebat anies ahok ridwan kamil,"['hebat', 'anies', 'ahok', 'ridwan', 'kamil']",netral
putunembahpairin,Heru Budi ko ada,heru budi ko,heru budi ko,"['heru', 'budi', 'ko']",netral
triadi52,Tetap setia bersama pak anies 🔥🔥🔥,setia anies,setia anies,"['setia', 'anies']",netral
viequinnn,Semoga Bpk anies terpilih lagi karena Nasib kampung bayam ada ditangan next gubernur berikutnya 😢  🔥  🔥,semoga bpk anies terpilih nasib kampung bayam ditangan next gubernur,moga bpk anies pilih nasib kampung bayam tang next gubernur,"['moga', 'bpk', 'anies', 'pilih', 'nasib', 'kampung', 'bayam', 'tang', 'next', 'gubernur']",netral
suherliarmaya,Sang Pangeran yg digadang2 punya elektabilitas tinggi nyatanya cm 1%??? 🤣🤣🤣,sang pangeran yg digadang elektabilitas cm,sang pangeran yg gadang elektabilitas cm,"['sang', 'pangeran', 'yg', 'gadang', 'elektabilitas', 'cm']",netral
yunan_iskandar,"Si heru budi 1%, bukan katanya survey rakyat Jakarta puas sama heru budi 😂",si heru budi survey rakyat jakarta puas heru budi,si heru budi survey rakyat jakarta puas heru budi,"['si', 'heru', 'budi', 'survey', 'rakyat', 'jakarta', 'puas', 'heru', 'budi']",netral
andz.96,Kalo gw sih malu HBS nyapres gk kepilih trus nyagub lagi..😅,kalo gw sih malu hbs nyapres gk kepilih trus nyagub,kalo gw sih malu hbs nyapres gk pilih trus nyagub,"['kalo', 'gw', 'sih', 'malu', 'hbs', 'nyapres', 'gk', 'pilih', 'trus', 'nyagub']",netral
muh_turi,Anis vs ahok bakal turun nie imam mahdi dan malaikat jibril dan nenek tarwiyah jilid 2😂😂😂,anis vs ahok turun nie imam mahdi malaikat jibril nenek tarwiyah jilid,anis vs ahok turun nie imam mahdi malaikat jibril nenek tarwiyah jilid,"['anis', 'vs', 'ahok', 'turun', 'nie', 'imam', 'mahdi', 'malaikat', 'jibril', 'nenek', 'tarwiyah', 'jilid']",netral
herman_efendi47,Anis go,anis go,anis go,"['anis', 'go']",netral
desilestariri,Tetap pak ahok ❤️,ahok,ahok,['ahok'],netral
elhaqiem31,"Biar hemat biaya, uda Anies-Ahok aja, biar jakarta adem temtram ayem akur",biar hemat biaya uda aniesahok aja biar jakarta adem temtram ayem akur,biar hemat biaya uda aniesahok aja biar jakarta adem temtram ayem akur,"['biar', 'hemat', 'biaya', 'uda', 'aniesahok', 'aja', 'biar', 'jakarta', 'adem', 'temtram', 'ayem', 'akur']",netral
ardi.chemistry,Pak Anies & Bu Sri Mulyani,anies bu sri mulyani,anies bu sri mulyani,"['anies', 'bu', 'sri', 'mulyani']",netral
prassekoprasetyo,syahroni ga ada ya🤣🤣🤣🤣🤣🤣,syahroni ga ya,syahroni ga ya,"['syahroni', 'ga', 'ya']",netral
tigabels6,Pilih aja yg gak terpilih di situ 🤣😂😂😍🔥,pilih aja yg gak terpilih situ,pilih aja yg gak pilih situ,"['pilih', 'aja', 'yg', 'gak', 'pilih', 'situ']",netral
tigabels6,Yg jelas jangan lagi pilih anies apalagi ahok 🔥,yg pilih anies ahok,yg pilih anies ahok,"['yg', 'pilih', 'anies', 'ahok']",netral
halimah_lim20,"Gubernur pak Ahok,wakil pak Anis,kayanya mantap tuh",gubernur ahokwakil aniskayanya mantap tuh,gubernur ahokwakil aniskayanya mantap tuh,"['gubernur', 'ahokwakil', 'aniskayanya', 'mantap', 'tuh']",netral
salutmartua,Pasti menang Kang Emil neh 💯%,menang kang emil neh,menang kang emil neh,"['menang', 'kang', 'emil', 'neh']",netral
